file,instance,method,obj,route,time,congestion,elapsed time,evaluated solutions
config_{16-04-04}_{06-08}_01_decomposedRandom_20250831T111337274.log,{16-04-04}_{06-08}_01,decomposedRandom,1877.11863879,1226.58,650.54,0.00,792.42,1
config_{16-04-04}_{06-08}_01_localRefinement_20250831T231044024.log,{16-04-04}_{06-08}_01,localRefinement,1877.11863879,1226.58,650.54,0.00,595.37,1
config_{16-04-04}_{06-08}_02_decomposedNeighborhoodSearch_20250831T112426255.log,{16-04-04}_{06-08}_02,decomposedNeighborhoodSearch,1767.60533108,1174.74,592.86,0.00,577.16,1
config_{16-04-04}_{06-08}_02_decomposedRandom_20250831T113843094.log,{16-04-04}_{06-08}_02,decomposedRandom,1767.60533108,1174.74,592.86,0.00,466.07,1
config_{16-04-04}_{06-08}_02_localRefinement_20250831T231044416.log,{16-04-04}_{06-08}_02,localRefinement,1767.60533108,1174.74,592.86,0.00,347.15,1
config_{16-04-04}_{06-08}_03_decomposedNeighborhoodSearch_20250831T112502952.log,{16-04-04}_{06-08}_03,decomposedNeighborhoodSearch,1769.41876335,1216.52,552.90,0.00,519.77,1
config_{16-04-04}_{06-08}_03_decomposedRandom_20250831T114603113.log,{16-04-04}_{06-08}_03,decomposedRandom,1769.41876335,1216.52,552.90,0.00,416.29,1
config_{16-04-04}_{06-08}_03_localRefinement_20250831T231047380.log,{16-04-04}_{06-08}_03,localRefinement,1769.41876335,1216.52,552.90,0.00,325.16,1
config_{16-04-04}_{06-08}_04_decomposedNeighborhoodSearch_20250831T112600708.log,{16-04-04}_{06-08}_04,decomposedNeighborhoodSearch,1810.79837520,1133.42,677.38,0.00,246.63,1
config_{16-04-04}_{06-08}_04_decomposedRandom_20250831T115506982.log,{16-04-04}_{06-08}_04,decomposedRandom,1810.79837520,1133.42,677.38,0.00,222.05,1
config_{16-04-04}_{06-08}_04_localRefinement_20250831T231049556.log,{16-04-04}_{06-08}_04,localRefinement,1810.79837520,1133.42,677.38,0.00,139.33,1
config_{16-04-04}_{06-08}_05_decomposedNeighborhoodSearch_20250831T114141066.log,{16-04-04}_{06-08}_05,decomposedNeighborhoodSearch,1916.54900888,1199.38,717.17,0.00,640.04,1
config_{16-04-04}_{06-08}_05_decomposedRandom_20250831T121339371.log,{16-04-04}_{06-08}_05,decomposedRandom,1916.54900888,1199.38,717.17,0.00,338.47,1
config_{16-04-04}_{06-08}_05_localRefinement_20250901T001108037.log,{16-04-04}_{06-08}_05,localRefinement,1916.54900888,1199.38,717.17,0.00,591.84,1
config_{20-05-05}_{06-10}_01_decomposedNeighborhoodSearch_20250831T122428205.log,{20-05-05}_{06-10}_01,decomposedNeighborhoodSearch,2628.27781671,1754.43,873.85,0.00,483.11,1
config_{20-05-05}_{06-10}_01_decomposedRandom_20250831T123843885.log,{20-05-05}_{06-10}_01,decomposedRandom,2628.27781671,1754.43,873.85,0.00,374.18,1
config_{20-05-05}_{06-10}_01_localRefinement_20250901T001108653.log,{20-05-05}_{06-10}_01,localRefinement,2628.27781671,1754.43,873.85,0.00,667.06,1
config_{20-05-05}_{06-10}_02_decomposedNeighborhoodSearch_20250831T122505054.log,{20-05-05}_{06-10}_02,decomposedNeighborhoodSearch,2489.23336343,1660.52,828.71,0.00,405.34,1
config_{20-05-05}_{06-10}_02_decomposedRandom_20250831T124605004.log,{20-05-05}_{06-10}_02,decomposedRandom,2489.23336343,1660.52,828.71,0.00,309.67,1
config_{20-05-05}_{06-10}_02_localRefinement_20250901T001113344.log,{20-05-05}_{06-10}_02,localRefinement,2489.23336343,1660.52,828.71,0.00,545.10,1
config_{20-05-05}_{06-10}_03_decomposedNeighborhoodSearch_20250831T122602896.log,{20-05-05}_{06-10}_03,decomposedNeighborhoodSearch,2431.47213567,1759.13,672.34,0.00,454.23,1
config_{20-05-05}_{06-10}_03_decomposedRandom_20250831T125508078.log,{20-05-05}_{06-10}_03,decomposedRandom,2431.47213567,1759.13,672.34,0.00,381.42,1
config_{20-05-05}_{06-10}_03_localRefinement_20250901T001114521.log,{20-05-05}_{06-10}_03,localRefinement,2431.47213567,1759.13,672.34,0.00,688.69,1
config_{20-05-05}_{06-10}_04_decomposedNeighborhoodSearch_20250831T124143110.log,{20-05-05}_{06-10}_04,decomposedNeighborhoodSearch,2621.94572056,1691.88,930.07,0.00,334.74,1
config_{20-05-05}_{06-10}_04_decomposedRandom_20250831T131340991.log,{20-05-05}_{06-10}_04,decomposedRandom,2621.94572056,1691.88,930.07,0.00,449.17,1
config_{20-05-05}_{06-10}_04_localRefinement_20250901T011132941.log,{20-05-05}_{06-10}_04,localRefinement,2621.94572056,1691.88,930.07,0.00,170.01,1
config_{20-05-05}_{06-10}_05_decomposedNeighborhoodSearch_20250831T132429977.log,{20-05-05}_{06-10}_05,decomposedNeighborhoodSearch,2537.21952214,1736.32,800.90,0.00,341.13,1
config_{20-05-05}_{06-10}_05_decomposedRandom_20250831T133845759.log,{20-05-05}_{06-10}_05,decomposedRandom,2537.21952214,1736.32,800.90,0.00,303.06,1
config_{20-05-05}_{06-10}_05_localRefinement_20250901T011201266.log,{20-05-05}_{06-10}_05,localRefinement,2537.21952214,1736.32,800.90,0.00,143.75,1
config_{12-00-06}_{06-06}_01_decomposedNeighborhoodSearch_20250904T234629100.log,{12-00-06}_{06-06}_01,decomposedNeighborhoodSearch,262.99802846,164.65,98.35,0.00,12.75,1
config_{12-00-06}_{06-06}_01_decomposedRandom_20250904T002509583.log,{12-00-06}_{06-06}_01,decomposedRandom,262.99802846,164.65,98.35,0.00,13.34,1
config_{12-00-06}_{06-06}_01_localRefinement_20250904T002525250.log,{12-00-06}_{06-06}_01,localRefinement,262.99802846,164.65,98.35,0.00,15.18,1
config_{12-00-06}_{06-06}_02_decomposedNeighborhoodSearch_20250904T234722020.log,{12-00-06}_{06-06}_02,decomposedNeighborhoodSearch,294.01645559,151.01,143.01,0.00,4.81,1
config_{12-00-06}_{06-06}_02_decomposedRandom_20250904T002509583.log,{12-00-06}_{06-06}_02,decomposedRandom,294.01645559,151.01,143.01,0.00,5.20,1
config_{12-00-06}_{06-06}_02_localRefinement_20250904T002525250.log,{12-00-06}_{06-06}_02,localRefinement,294.01645559,151.01,143.01,0.00,5.74,1
config_{12-00-06}_{06-06}_03_decomposedNeighborhoodSearch_20250904T234753495.log,{12-00-06}_{06-06}_03,decomposedNeighborhoodSearch,326.96103498,171.77,155.19,0.00,6.72,1
